,,,ntsc_0.9,,,ntsc_1.0,,,ntsc_1.1,,,pal_1.0,,,ntsc_1.2,,,pal_1.1,,,jp_gc,,,jp_mq,,,usa_gc,,,usa_mq,,,pal_gc,,,pal_gc_dbg1,,,pal_gc_dbg2,,,pal_mq,,,pal_mq_dbg,,,jp_gc_ce,,,ique_cn,,,ique_tw,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_play.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9F610,800BC470,4A20,9F610,800BC470,4A20,089010,80099F10,3A60,9F5F0,800BC450,4A20,088F80,80099E60,,,,,,,,
PreRender.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A4030,800C0E90,2A10,A4030,800C0E90,2A10,08CA70,8009D970,,A4010,800C0E70,2A10,,,,,,,,,,
TwoHeadArena.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A6A40,800C38A0,3A0,A6A40,800C38A0,3A0,,,,A6A20,800C3880,3A0,,,,,,,,,,
code_800C3C20.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08EF50,8009FE50,50,A6DE0,800C3C40,60,A6DE0,800C3C40,60,08EF30,8009FE30,50,A6DC0,800C3C20,60,,,,,,,,,,
audioMgr.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A6E40,800C3CA0,430,A6E40,800C3CA0,430,08EF80,8009FE80,410,A6E20,800C3C80,430,,,,,,,,,,
title_setup.c,,,08F510,800A05B0,70,08F660,800A0700,70,08F670,800A0710,70,8F770,800A0E50,70,08F710,800A0DF0,70,08F7B0,800A0E90,70,08F320,800A0200,70,08F300,800A01E0,70,08F300,800A01E0,70,08F2E0,800A01C0,70,08F3B0,800A02B0,70,A7270,800C40D0,80,A7270,800C40D0,80,08F390,800A0290,70,A7250,800C40B0,80,08F300,800A01E0,70,08D7C0,800A6760,70,08D970,800A63B0,70,
game.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A72F0,800C4150,14A0,A72F0,800C4150,14A0,08F400,800A0300,780,A72D0,800C4130,14A0,,,,,,,,,,
gamealloc.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8790,800C55F0,280,A8790,800C55F0,280,08FB80,800A0A80,140,A8770,800C55D0,280,,,,,,,,,,
graph.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A10,800C5870,1420,A8A10,800C5870,1420,08FCC0,800A0BC0,,A89F0,800C5850,1420,,,,,,,,,,
listalloc.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0906E0,800A15E0,150,A9E30,800C6C90,160,A9E30,800C6C90,160,0906C0,800A15C0,150,A9E10,800C6C70,160,,,,,,,,,,
main.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090830,800A1730,,A9F90,800C6DF0,480,A9F90,800C6DF0,480,090810,800A1710,360,A9F70,800C6DD0,480,,,,,,,,,,
padmgr.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA410,800C7270,1050,AA410,800C7270,1050,090B70,800A1A70,B10,AA3F0,800C7250,1050,,,,,,,,,,
sched.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB460,800C82C0,16A0,AB460,800C82C0,16A0,091680,800A2580,C80,AB440,800C82A0,16A0,,,,,,,,,,
speed_meter.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACB00,800C9960,A60,ACB00,800C9960,A60,092300,800A3200,A40,ACAE0,800C9940,A60,,,,,,,,,,
sys_cfb.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092D60,800A3C60,110,AD560,800CA3C0,1A0,AD560,800CA3C0,1A0,092D40,800A3C40,110,AD540,800CA3A0,1A0,,,,,,,,,,
sys_math.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092E70,800A3D70,2B0,AD700,800CA560,290,AD700,800CA560,290,092E50,800A3D50,2B0,AD6E0,800CA540,290,,,,,,,,,,
sys_math3d.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,093120,800A4020,,AD990,800CA7F0,5E20,AD990,800CA7F0,5E20,093100,800A4000,,AD970,800CA7D0,5E20,,,,,,,,,,
sys_math_atan.c,,,099280,800AA320,230,0993E0,800AA480,230,0993E0,800AA480,230,0993D0,800AAAB0,230,099370,800AAA50,230,099410,800AAAF0,230,098E50,800A9D30,230,098E30,800A9D10,230,098E30,800A9D10,230,098E10,800A9CF0,230,098EF0,800A9DF0,230,B37B0,800D0610,220,B37B0,800D0610,220,098ED0,800A9DD0,230,B3790,800D05F0,220,098E30,800A9D10,230,0972F0,800B0290,230,0974B0,800AFEF0,230,
sys_matrix.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099120,800AA020,,B39D0,800D0830,25E0,B39D0,800D0830,25E0,099100,800AA000,,B39B0,800D0810,25E0,,,,,,,,,,
sys_ucode.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09B520,800AC420,50,B5FB0,800D2E10,40,B5FB0,800D2E10,40,09B500,800AC400,50,B5F90,800D2DF0,40,,,,,,,,,,
code_800D2E30.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B5FF0,800D2E50,370,B5FF0,800D2E50,370,09B550,800AC450,360,B5FD0,800D2E30,370,,,,,,,,,,
code_800D31A0.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B6360,800D31C0,80,B6360,800D31C0,80,09B8B0,800AC7B0,30,B6340,800D31A0,80,,,,,,,,,,
irqmgr.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B63E0,800D3240,870,B63E0,800D3240,870,09B8E0,800AC7E0,620,B63C0,800D3220,870,,,,,,,,,,
debug_malloc.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B6C50,800D3AB0,490,B6C50,800D3AB0,490,,,,B6C30,800D3A90,490,,,,,,,,,,
fault.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B70E0,800D3F40,2850,B70E0,800D3F40,2850,09BF00,800ACE00,2850,B70C0,800D3F20,2850,,,,,,,,,,
faut_drawer.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09E770,800AF670,A80,B9930,800D6790,A80,B9930,800D6790,A80,09E750,800AF650,A80,B9910,800D6770,A80,,,,,,,,,,
code_800D71F0.s,,Handwritten,09E510,800AF5B0,AE0,09E6F0,800AF790,AE0,09E6F0,800AF790,AE0,09E770,800AFE50,AE0,09E710,800AFDF0,AE0,09E7B0,800AFE90,AE0,09F150,800B0030,AE0,09F130,800B0010,AE0,09F130,800B0010,AE0,09F110,800AFFF0,AE0,09F1F0,800B00F0,AE0,0BA3B0,800D7210,AE0,0BA3B0,800D7210,AE0,09F1D0,800B00D0,AE0,BA390,800D71F0,AE0,09F130,800B0010,AE0,09D5F0,800B6590,AE0,09D7B0,800B61F0,AE0,
ucode_disas.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAE90,800D7CF0,2FF0,BAE90,800D7CF0,2FF0,,,,BAE70,800D7CD0,2FF0,,,,,,,,,,
code_800DACC0.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDE80,800DACE0,3160,BDE80,800DACE0,3160,,,,BDE60,800DACC0,3160,,,,,,,,,,
audio_heap.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0FE0,800DDE40,33D0,C0FE0,800DDE40,33D0,,,,C0FC0,800DDE20,33D0,,,,,,,,,,
code_800E11F0.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C43B0,800E1210,5650,C43B0,800E1210,5650,,,,C4390,800E11F0,5650,,,,,,,,,,
code_800E6840.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB860,800BC760,80,C9A00,800E6860,80,C9A00,800E6860,80,0AB840,800BC740,80,C99E0,800E6840,80,,,,,,,,,,
osAiSetNextBuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB8E0,800BC7E0,80,C9A80,800E68E0,80,C9A80,800E68E0,80,0AB8C0,800BC7C0,80,C9A60,800E68C0,80,,,,,,,,,,
audio_playback.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB960,800BC860,1F80,C9B00,800E6960,1F80,C9B00,800E6960,1F80,0AB940,800BC840,1F80,C9AE0,800E6940,1F80,,,,,,,,,,
audio_effects.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AD8E0,800BE7E0,A80,CBA80,800E88E0,A80,CBA80,800E88E0,A80,0AD8C0,800BE7C0,A80,CBA60,800E88C0,A80,,,,,,,,,,
audio_seqplayer.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AE360,800BF260,3620,CC500,800E9360,3620,CC500,800E9360,3620,0AE340,800BF240,3620,CC4E0,800E9340,3620,,,,,,,,,,
code_800EC960.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0B1980,800C2880,,CFB20,800EC980,A900,CFB20,800EC980,A900,0B1960,800C2860,,CFB00,800EC960,A900,,,,,,,,,,
code_800F7260.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DA420,800F7280,2020,DA420,800F7280,2020,0B7AF0,800C89F0,1E60,DA400,800F7260,2020,,,,,,,,,,
code_800F9280.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC440,800F92A0,1CE0,DC440,800F92A0,1CE0,0B9950,800CA850,1C20,DC420,800F9280,1CE0,,,,,,,,,,
logseverity.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE100,800FAF60,0,,,,,,,,,,
gfxprint.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE120,800FAF80,D80,DE120,800FAF80,D80,0BB570,800CC470,D70,DE100,800FAF60,D80,,,,,,,,,,
code_800FBCE0.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BC300,800CD200,60,DEEA0,800FBD00,330,DEEA0,800FBD00,330,0BC2E0,800CD1E0,60,DEE80,800FBCE0,330,,,,,,,,,,
loadfragment2.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BC360,800CD260,60,DF1D0,800FC030,B0,DF1D0,800FC030,B0,0BC340,800CD240,60,DF1B0,800FC010,B0,,,,,,,,,,
mtxuty-cvt.c,,Moved at least,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF280,800FC0E0,200,DF280,800FC0E0,200,,,,DF260,800FC0C0,200,,,,,,,,,,
relocation.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF480,800FC2E0,360,DF480,800FC2E0,360,0BC3A0,800CD2A0,240,DF460,800FC2C0,360,,,,,,,,,,
code_800FC620.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF7E0,800FC640,530,DF7E0,800FC640,530,0BC5E0,800CD4E0,410,DF7C0,800FC620,530,,,,,,,,,,
padutils.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFD10,800FCB70,1F0,DFD10,800FCB70,1F0,0BC9F0,800CD8F0,1F0,DFCF0,800FCB50,1F0,,,,,,,,,,
padsetup.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFF00,800FCD60,140,DFF00,800FCD60,140,0BCBE0,800CDAE0,140,DFEE0,800FCD40,140,,,,,,,,,,
code_800FCE80.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E0040,800FCEA0,510,E0040,800FCEA0,510,0BCD20,800CDC20,510,E0020,800FCE80,510,,,,,,,,,,
fp.s,,Handwritten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E0550,800FD3B0,160,E0550,800FD3B0,160,0BD230,800CE130,160,E0530,800FD390,160,,,,,,,,,,
system_malloc.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E06B0,800FD510,480,E06B0,800FD510,480,0BD390,800CE290,1D0,E0690,800FD4F0,480,,,,,,,,,,
code_800FD970.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E0B30,800FD990,1C0,E0B30,800FD990,1C0,0BD560,800CE460,1C0,E0B10,800FD970,1C0,,,,,,,,,,
__osMalloc.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E0CF0,800FDB50,1810,E0CF0,800FDB50,1810,0BD720,800CE620,DB0,E0CD0,800FDB30,1810,,,,,,,,,,
,sprintf.c,In boot on debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0BE4D0,800CF3D0,D0,,,,,,,,,,,,,
printutils.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE5C0,800CF4C0,60,E2500,800FF360,60,E2500,800FF360,60,0BE5A0,800CF4A0,60,E24E0,800FF340,60,,,,,,,,,,
sleep.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE620,800CF520,1A0,E2560,800FF3C0,1A0,E2560,800FF3C0,1A0,0BE600,800CF500,1A0,E2540,800FF3A0,1A0,,,,,,,,,,
jpegutils.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE7C0,800CF6C0,510,E2700,800FF560,510,E2700,800FF560,510,0BE7A0,800CF6A0,510,E26E0,800FF540,510,,,,,,,,,,
jpegdecoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BECD0,800CFBD0,5F0,E2C10,800FFA70,5F0,E2C10,800FFA70,5F0,0BECB0,800CFBB0,5F0,E2BF0,800FFA50,5F0,,,,,,,,,,
osPfsFreeBlocks.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E3200,80100060,1A0,E3200,80100060,1A0,,,,E31E0,80100040,1A0,,,,,,,,,,
guScale.s,,Handwritten,,,,,,,,,,,,,,,,,,,BF220,,B0,BF200,,B0,BF200,,B0,BF1E0,,B0,BF2C0,800D01C0,B0,E33A0,80100200,B0,E33A0,80100200,B0,0BF2A0,800D01A0,B0,E3380,801001E0,B0,BF200,,B0,,,,,,,
sinf.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BF370,800D0270,1C0,E3450,801002B0,1C0,E3450,801002B0,1C0,0BF350,800D0250,1C0,E3430,80100290,1C0,,,,,,,,,,
sins.c,,,0BE380,800CF420,70,0BE590,800CF630,70,0BE750,800CF7F0,70,0BE7C0,800CFEA0,70,0BE790,800CFE70,70,0BE800,800CFEE0,70,0BF490,800D0370,70,0BF470,800D0350,70,0BF470,800D0350,70,0BF450,800D0330,70,BF530,800D0430,70,E3610,80100470,70,E3610,80100470,70,0BF510,800D0410,70,E35F0,80100450,70,0BF470,800D0350,70,0BFBC0,800D8B60,50,0BFD80,800D87C0,50,
sptask.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BF5A0,800D04A0,2C0,E3680,801004E0,2C0,E3680,801004E0,2C0,0BF580,800D0480,2C0,E3660,801004C0,2C0,,,,,,,,,,
osRumblePack.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BF860,800D0760,3D0,E3940,801007A0,3D0,E3940,801007A0,3D0,0BF840,800D0740,3D0,E3920,80100780,3D0,,,,,,,,,,
__osSiCreateAccessQueue.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFC30,800D0B30,C0,E3D10,80100B70,C0,E3D10,80100B70,C0,0BFC10,800D0B10,C0,E3CF0,80100B50,C0,,,,,,,,,,
osContInit.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFCF0,800D0BF0,2E0,E3DD0,80100C30,2E0,E3DD0,80100C30,2E0,0BFCD0,800D0BD0,2E0,E3DB0,80100C10,2E0,,,,,,,,,,
osContStartReadData.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFFD0,800D0ED0,1E0,E40B0,80100F10,1E0,E40B0,80100F10,1E0,0BFFB0,800D0EB0,1E0,E4090,80100EF0,1E0,,,,,,,,,,
guPerspectiveF.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C01B0,800D10B0,290,E4290,801010F0,290,E4290,801010F0,290,0C0190,800D1090,290,E4270,801010D0,290,,,,,,,,,,
__osSpRawStartDma.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0440,800D1340,90,E4520,80101380,90,E4520,80101380,90,0C0420,800D1320,90,E4500,80101360,90,,,,,,,,,,
__osSiRawStartDma.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C04D0,800D13D0,B0,E45B0,80101410,B0,E45B0,80101410,B0,0C04B0,800D13B0,B0,E4590,801013F0,B0,,,,,,,,,,
osSpTaskYield.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0580,800D1480,20,E4660,801014C0,20,E4660,801014C0,20,0C0560,800D1460,20,E4640,801014A0,20,,,,,,,,,,
pfsreadwritefile.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E4680,801014E0,450,E4680,801014E0,450,,,,E4660,801014C0,450,,,,,,,,,,
__osPfsGetStatus.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,E4AD0,80101930,230,E4AD0,80101930,230,-,-,-,E4AB0,80101910,230,,,,,,,,,,
guMtxIdentF.s,,Handwritten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C05A0,800D14A0,50,E4D00,80101B60,50,E4D00,80101B60,50,0C0580,800D1480,50,E4CE0,80101B40,50,,,,,,,,,,
guLookAt.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C05F0,800D14F0,320,E4D50,80101BB0,320,E4D50,80101BB0,320,0C05D0,800D14D0,320,E4D30,80101B90,320,,,,,,,,,,
pfsallocatefile.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E5070,80101ED0,480,E5070,80101ED0,480,,,,E5050,80101EB0,480,,,,,,,,,,
osStopTimer.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0910,800D1810,F0,E54F0,80102350,F0,E54F0,80102350,F0,0C08F0,800D17F0,F0,E54D0,80102330,F0,,,,,,,,,,
contpfs.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E55E0,80102440,B80,E55E0,80102440,B80,,,,E55C0,80102420,B80,,,,,,,,,,
guMtxL2F.s,,Handwritten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E6160,80102FC0,70,E6160,80102FC0,70,,,,E6140,80102FA0,70,,,,,,,,,,
osPfsFindFile.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E61D0,80103030,1D0,E61D0,80103030,1D0,,,,E61B0,80103010,1D0,,,,,,,,,,
sqrtf,,,BFB10,800D0BB0,10,BFD20,800D0DC0,10,BFEE0,800D0F80,10,BFF50,800D1630,10,BFF20,800D1600,10,BFF90,800D1670,10,C0960,800D1840,10,C0940,800D1820,10,C0940,800D1820,10,C0920,800D1800,10,C0A00,800D1900,10,E63A0,80103200,10,E63A0,80103200,10,0C09E0,800D18E0,10,E6380,801031E0,10,0C0940,800D1820,10,BE790,800D7730,10,BE950,800D7390,10,
osAfterPreNMI.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0A10,800D1910,20,E63B0,80103210,20,E63B0,80103210,20,0C09F0,800D18F0,20,E6390,801031F0,20,,,,,,,,,,
contquery.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0A30,800D1930,A0,E63D0,80103230,A0,E63D0,80103230,A0,0C0A10,800D1910,A0,E63B0,80103210,A0,,,,,,,,,,
guLookAtHilite.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0AD0,800D19D0,880,E6470,801032D0,880,E6470,801032D0,880,0C0AB0,800D19B0,880,E6450,801032B0,880,,,,,,,,,,
,_Printf.c,In boot on debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1350,800D2250,CE0,-,-,-,-,-,-,0C1330,800D2230,CE0,-,-,-,,,,,,,,,,
,string.c,In boot on debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2030,800D2F30,A0,-,-,-,-,-,-,0C2010,800D2F10,A0,-,-,-,,,,,,,,,,
sp.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20D0,800D2FD0,30,E6CF0,80103B50,30,E6CF0,80103B50,30,0C20B0,800D2FB0,30,E6CD0,80103B30,30,,,,,,,,,,
guMtxIdent.s,,Handwritten,,,,,,,,,,,,,,,,,,,C2060,800D2F40,50,C2040,800D2F20,50,C2040,800D2F20,50,C2020,800D2F00,50,C2100,800D3000,50,E6D20,80103B80,50,E6D20,80103B80,50,0C20E0,800D2FE0,50,E6D00,80103B60,50,C2040,800D2F20,50,C1880,800DA820,60,C14A0,800D9EE0,60,
guPosition.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2150,800D3050,210,E6D70,80103BD0,210,E6D70,80103BD0,210,0C2130,800D3030,210,E6D50,80103BB0,210,,,,,,,,,,
osSpTaskYielded.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2360,800D3260,60,E6F80,80103DE0,60,E6F80,80103DE0,60,0C2340,800D3240,60,E6F60,80103DC0,60,,,,,,,,,,
rotate.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C23C0,800D32C0,1D0,E6FE0,80103E40,1D0,E6FE0,80103E40,1D0,0C23A0,800D32A0,1D0,E6FC0,80103E20,1D0,,,,,,,,,,
osAiSetFrequency.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2590,800D3490,150,E71B0,80104010,150,E71B0,80104010,150,0C2570,800D3470,150,E7190,80103FF0,150,,,,,,,,,,
__osGetActiveQueue.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C26E0,800D35E0,20,E7300,80104160,20,E7300,80104160,20,0C26C0,800D35C0,20,E72E0,80104140,20,,,,,,,,,,
guNormalize.s,,Handwritten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2700,800D3600,60,E7320,80104180,60,E7320,80104180,60,0C26E0,800D35E0,60,E7300,80104160,60,,,,,,,,,,
osDpGetStatus.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2760,800D3660,10,E7380,801041E0,10,E7380,801041E0,10,0C2740,800D3640,10,E7360,801041C0,10,,,,,,,,,,
osDpSetStatus.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2770,800D3670,10,E7390,801041F0,10,E7390,801041F0,10,0C2750,800D3650,10,E7370,801041D0,10,,,,,,,,,,
osPfsDeleteFile.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E73A0,80104200,270,E73A0,80104200,270,,,,E7380,801041E0,270,,,,,,,,,,
ortho.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2780,800D3680,1C0,E7610,80104470,1C0,E7610,80104470,1C0,0C2760,800D3660,1C0,E75F0,80104450,1C0,,,,,,,,,,
cosf.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2940,800D3840,170,E77D0,80104630,170,E77D0,80104630,170,0C2920,800D3820,170,E77B0,80104610,170,,,,,,,,,,
coss.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2AB0,800D39B0,30,E7940,801047A0,30,E7940,801047A0,30,0C2A90,800D3990,30,E7920,80104780,30,,,,,,,,,,
osViSetEvent.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C2AE0,800D39E0,60,E7970,801047D0,60,E7970,801047D0,60,0C2AC0,800D39C0,60,E7950,801047B0,60,,,,,,,,,,
osPfsIsPlug.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E79D0,80104830,2F0,E79D0,80104830,2F0,,,,E79B0,80104810,2F0,,,,,,,,,,
guS2DInitBg.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2B40,800D3A40,180,E7CC0,80104B20,180,E7CC0,80104B20,180,0C2B20,800D3A20,180,E7CA0,80104B00,180,,,,,,,,,,
__osPfsSelectBank.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2CC0,800D3BC0,80,E7E40,80104CA0,80,E7E40,80104CA0,80,0C2CA0,800D3BA0,80,E7E20,80104C80,80,,,,,,,,,,
osContSetCh.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0C2D40,800D3C40,60,E7EC0,80104D20,60,E7EC0,80104D20,60,0C2D20,800D3C20,60,E7EA0,80104D00,60,,,,,,,,,,
osPfsFileState.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E7F20,80104D80,1E0,E7F20,80104D80,1E0,,,,E7F00,80104D60,1E0,,,,,,,,,,
pfsinitpak.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E8100,80104F60,310,E8100,80104F60,310,,,,E80E0,80104F40,310,,,,,,,,,,
pfschecker.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E8410,80105270,9B0,E8410,80105270,9B0,,,,E83F0,80105250,9B0,,,,,,,,,,
osAiGetLength.c,,,C2030,,10,C2240,,10,C2400,,10,C22C0,,10,C2290,,10,C2300,,10,C2D00,,20,C2CE0,,20,C2CE0,,20,C2CC0,,20,C2DA0,800D3CA0,20,E8DC0,80105C20,20,E8DC0,80105C20,20,0C2D80,800D3C80,20,E8DA0,80105C00,20,C2CE0,800D3BC0,20,,,,,,,
guTranslate.s,,"Handwritten, 4w padding at start",,,,,,,,,,,,,,,,,,,C2D20,,D0,C2D00,,D0,C2D00,,D0,C2CE0,,D0,C2DC0,800D3CC0,D0,E8DE0,80105C40,D0,E8DE0,80105C40,D0,0C2DA0,800D3CA0,D0,E8DC0,80105C20,D0,C2D00,800D3BE0,D0,,,,,,,
__osContRamWrite.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2E90,800D3D90,250,E8EB0,80105D10,250,E8EB0,80105D10,250,0C2E70,800D3D70,250,E8E90,80105CF0,250,,,,,,,,,,
,__osPfsGetStatus.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C30E0,800D3FE0,230,-,-,-,-,-,-,0C30C0,800D3FC0,230,-,-,-,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3310,800D4210,B80,-,-,-,-,-,-,0C32F0,800D41F0,B80,-,-,-,,,,,,,,,,
__osContRamRead.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3E90,800D4D90,230,E9100,80105F60,230,E9100,80105F60,230,0C3E70,800D4D70,230,E90E0,80105F40,230,,,,,,,,,,
__osContAddressCrc.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C40C0,800D4FC0,170,E9330,80106190,170,E9330,80106190,170,0C40A0,800D4FA0,170,E9310,80106170,170,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C4230,800D5130,2F0,-,-,-,-,-,-,0C4210,800D5110,2F0,-,-,-,,,,,,,,,,
